cluster_name	safe_cluster_id	representative_id	ko	trusted_hit	score	evalue	threshold	kofamscan_definition	ko_definition	module_ids	module_names	pathway_ids	pathway_names	brite_A_id	brite_A_name	brite_B_id	brite_B_name	brite_C_id	brite_C_name	brite_ko_entry	pfam_target_name	pfam_accession	pfam_full_evalue	pfam_full_score	pfam_domain_i_evalue	pfam_domain_score	pfam_description	HAY1-4A	KNZ1-1G	KNZ1-1H	KNZ1-4G	KNZ1-6H	KNZ1-9H	KNZ12-10F	KNZ12-12B	KNZ12-1A	KNZ12-1B	KNZ12-6F	KNZ12-7H	KNZ13-10G	KNZ13-1A	KNZ13-6D	KNZ14-11B	KNZ14-9G	KNZ2-12A	KNZ2-1B	KNZ2-1C	KNZ2-3D	KNZ2-4C	KNZ2-5A	KNZ2-5C	KNZ2-5D	KNZ2-6B	KNZ2-6D	KNZ2-7A	KNZ2-8B	KNZ2-8D	KNZ2-9B	SVR3-12F	SVR3-5F	SVR3-6C	SVR3-7D	SVR3-7F	SVR3-8D	SVR3-8G	SVR3-9D	SVR3-9F	SVR3-9G	SVR3-9H	SVR4-10G	SVR4-12F	SVR4-1A	SVR4-1E	SVR4-7E	SVR4-9A	SVR4-9G	SVR5-10A	SVR5-11B	SVR5-12D	SVR5-12G	SVR5-1A	SVR5-1B	SVR5-1H	SVR5-2B	SVR5-3A	SVR5-3C	SVR5-3E	SVR5-4F	SVR5-5G	SVR5-9B	SVR6-10C	SVR6-10D	SVR6-11A	SVR6-11D	SVR6-7A	SVR6-8A	SVR6-9D	TLI6-10H	TLI6-11F	TLI6-1G	TLI6-3F	TLI6-4A	TLI6-5F	TLI6-5H	TLI6-8H	TLI6-IE	TLI7-5F	TLI7-6A	TLI7-7B	TLI7-7G	TLI8-10B	TLI8-4H	TLI8-6C	TLI8-7A	TLI8-8A	TLI8-8F	TLI8-9D	TLI8-9H	TLI9-11B	TLI9-11C	TLI9-12B	TLI9-1C	TLI9-3A
group_3360	cluster_011750	HAY14A_10240	K06035	no	72.7	1.90E-20	123.6	cyanamide hydratase [EC:4.2.1.69]	DDI2_3; cyanamide hydratase [EC:4.2.1.69]			map00791; ko00791; map01120; ko01120	map00791: Atrazine degradation; ko00791; map01120: Microbial metabolism in diverse environments; ko01120	9100	Metabolism	9111	Xenobiotics biodegradation and metabolism	ko00791	Atrazine degradation	DDI2_3; cyanamide hydratase [EC:4.2.1.69]	HD	PF01966.29	6.20E-11	43.2	9.70E-11	42.6	HD domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3361	cluster_011880	HAY14A_10245	K16091	yes	669.7	4.10E-201	348.93	Fe(3+) dicitrate transport protein	fecA; Fe(3+) dicitrate transport protein					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	fecA; Fe(3+) dicitrate transport protein	TonB_dep_Rec_b-barrel	PF00593.31	4.80E-48	165.7	6.60E-48	165.2	"TonB dependent receptor-like, beta-barrel"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3362	cluster_009938	HAY14A_10250	K09939	no	19.7	0.00029	56.13	uncharacterized protein	K09939; uncharacterized protein					9190	Not Included in Pathway or Brite	9194	Poorly characterized	99997	Function unknown	K09939; uncharacterized protein	PepSY_TM	PF03929.22	7.10E-45	154.7	8.20E-45	154.4	PepSY-associated TM region	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3363	cluster_009834	HAY14A_10255	K17837	yes	253.5	2.50E-75	146.3	metallo-beta-lactamase class B [EC:3.5.2.6]	"bla2, blm, ccrA, blaB; metallo-beta-lactamase class B [EC:3.5.2.6]"			map01501; ko01501	map01501: beta-Lactam resistance; ko01501	9160	Human Diseases	9175	Drug resistance: antimicrobial	ko01501	beta-Lactam resistance	"bla2, blm, ccrA, blaB; metallo-beta-lactamase class B [EC:3.5.2.6]"	Lactamase_B	PF00753.34	5.60E-15	56.4	1.10E-14	55.4	Metallo-beta-lactamase superfamily	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3364	cluster_012322	HAY14A_10260	K13513	no	105	2.80E-30	282	lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]	"LCLAT1, AGPAT8; lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]"	M00089	M00089: Triacylglycerol biosynthesis	map00561; ko00561; map00564; ko00564; map01100; ko01100; map01110; ko01110	map00561: Glycerolipid metabolism; ko00561; map00564: Glycerophospholipid metabolism; ko00564; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110	9180	Brite Hierarchies	9181	Protein families: metabolism	1004	Lipid biosynthesis proteins [BR:ko01004]	"LCLAT1, AGPAT8; lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]"	Acyltransferase	PF01553.27	6.70E-15	55.6	9.60E-15	55.2	Acyltransferase	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3365	cluster_011107	HAY14A_10265	K01971	yes	682.5	6.80E-205	206.63	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]			map03450; ko03450	map03450: Non-homologous end-joining; ko03450	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3400	DNA repair and recombination proteins [BR:ko03400]	ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	LigD_Prim-Pol	PF21686.4	1.40E-91	307.2	2.00E-91	306.7	"LigD, primase-polymerase domain"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3366	cluster_009708	HAY14A_10270	K07345	no	58.7	5.70E-16	81.67	major type 1 subunit fimbrin (pilin)	fimA; major type 1 subunit fimbrin (pilin)			map05131; ko05131; map05133; ko05133	map05131: Shigellosis; ko05131; map05133: Pertussis; ko05133	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	fimA; major type 1 subunit fimbrin (pilin)	MrkDrd	PF22003.3	7.40E-13	49.1	1.10E-12	48.5	MrkD-like receptor binding domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3367	cluster_010366	HAY14A_10275	K14645	no	67.9	5.00E-19	322.33	serine protease [EC:3.4.21.-]	K14645; serine protease [EC:3.4.21.-]			map02024; ko02024	map02024: Quorum sensing; ko02024	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3110	Chaperones and folding catalysts [BR:ko03110]	K14645; serine protease [EC:3.4.21.-]	MrkDrd	PF22003.3	3.10E-11	43.9	3.50E-11	43.7	MrkD-like receptor binding domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EmrB/QacA subfamily drug resistance transporter	cluster_011273	HAY14A_10280	K08166	yes	461.8	1.60E-138	431.93	"MFS transporter, DHA2 family, methylenomycin A resistance protein"	"mmr; MFS transporter, DHA2 family, methylenomycin A resistance protein"					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	"mmr; MFS transporter, DHA2 family, methylenomycin A resistance protein"	MFS_1	PF07690.22	4.70E-56	190.8	1.30E-55	189.3	Major Facilitator Superfamily	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3369	cluster_011592	HAY14A_10285	K01206	yes	222.3	7.90E-66	45.83	alpha-L-fucosidase [EC:3.2.1.51]	FUCA; alpha-L-fucosidase [EC:3.2.1.51]			map00511; ko00511; map04142; ko04142	map00511: Other glycan degradation; ko00511; map04142: Lysosome biogenesis; ko04142	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	4147	Exosome [BR:ko04147]	FUCA; alpha-L-fucosidase [EC:3.2.1.51]	Alpha_L_fucos	PF01120.24	4.00E-39	135.6	1.40E-36	127.2	Alpha-L-fucosidase	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3370																												1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3371	cluster_010229	HAY14A_10300	K03599	no	99.6	1.30E-28	169.77	stringent starvation protein A	"sspA, mglA; stringent starvation protein A"					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	"sspA, mglA; stringent starvation protein A"	GST_N_3	PF13417.13	4.60E-14	53.1	1.40E-13	51.5	"Glutathione S-transferase, N-terminal domain"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3372	cluster_010130	HAY14A_10305	K16291	no	41.4	6.90E-11	354.5	"L,D-transpeptidase ErfK/SrfK"													YkuD	PF03734.20	7.70E-23	82.2	1.70E-22	81.1	"L,D-transpeptidase catalytic domain"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3373	cluster_011960	HAY14A_10310	K19267	no	56.3	2.50E-15	220.13	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]			map00130; ko00130; map01100; ko01100; map01110; ko01110; map01240; ko01240	map00130: Ubiquinone and other terpenoid-quinone biosynthesis; ko00130; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01240: Biosynthesis of cofactors; ko01240	9100	Metabolism	9108	Metabolism of cofactors and vitamins	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	NAD_binding_10	PF13460.13	1.40E-10	42	3.70E-09	37.3	NAD(P)H-binding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3374	cluster_011573	HAY14A_10315	K12670	no	12.8	0.019	216	dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit DDOST/WBP1	"DDOST, WBP1; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit DDOST/WBP1"	M00072	M00072: N-glycosylation by oligosaccharyltransferase	map00510; ko00510; map00513; ko00513; map01100; ko01100; map04141; ko04141	map00510: N-Glycan biosynthesis; ko00510; map00513: Various types of N-glycan biosynthesis; ko00513; map01100: Metabolic pathways; ko01100; map04141: Protein processing in endoplasmic reticulum; ko04141	9120	Genetic Information Processing	9123	"Folding, sorting and degradation"	ko04141	Protein processing in endoplasmic reticulum	"DDOST, WBP1; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit DDOST/WBP1"								1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3375	cluster_012296	HAY14A_10320	K11383	no	183.8	3.60E-54	434.53	"two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]"	"kinB; two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]"			map02020; ko02020	map02020: Two-component system; ko02020	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2022	Two-component system [BR:ko02022]	"kinB; two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]"	HATPase_c	PF02518.32	6.20E-26	91.6	9.20E-26	91	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Redox protein	cluster_012395	HAY14A_10325	K07397	yes	134.6	3.20E-39	81.63	putative redox protein	yhfA; putative redox protein					9190	Not Included in Pathway or Brite	9192	Unclassified: genetic information processing	99975	Protein processing	yhfA; putative redox protein	OsmC	PF02566.25	1.90E-17	64.1	2.60E-17	63.7	OsmC-like protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pptA	cluster_011349	HAY14A_10330	K14422	no	60.3	1.00E-16	-	malonate semialdehyde decarboxylase [EC:4.1.1.-]	msaD; malonate semialdehyde decarboxylase [EC:4.1.1.-]			map00625; ko00625; map01120; ko01120	map00625: Chloroalkane and chloroalkene degradation; ko00625; map01120: Microbial metabolism in diverse environments; ko01120	9100	Metabolism	9111	Xenobiotics biodegradation and metabolism	ko00625	Chloroalkane and chloroalkene degradation	msaD; malonate semialdehyde decarboxylase [EC:4.1.1.-]	Tautomerase_2	PF14552.12	4.80E-27	94.5	6.30E-27	94.1	Tautomerase enzyme	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3378	cluster_009932	HAY14A_10335	K13633	no	157.5	3.10E-46	258.33	"AraC family transcriptional regulator, transcriptional activator FtrA"	"ftrA; AraC family transcriptional regulator, transcriptional activator FtrA"					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3000	Transcription factors [BR:ko03000]	"ftrA; AraC family transcriptional regulator, transcriptional activator FtrA"	HTH_18	PF12833.14	8.30E-18	65.1	1.60E-17	64.1	Helix-turn-helix domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3379	cluster_011452	HAY14A_10340	K07136	no	28.3	6.40E-07	75.1	uncharacterized protein	K07136; uncharacterized protein					9190	Not Included in Pathway or Brite	9194	Poorly characterized	99997	Function unknown	K07136; uncharacterized protein	MAPEG	PF01124.24	2.00E-26	93.2	2.30E-26	93.1	MAPEG family	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3380	cluster_011533	HAY14A_10345	K20170	no	12.2	0.033	684.13	nicotine oxidoreductase	nicA1; nicotine oxidoreductase	M00811	"M00811: Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde"	map00760; ko00760; map01100; ko01100; map01120; ko01120	map00760: Nicotinate and nicotinamide metabolism; ko00760; map01100: Metabolic pathways; ko01100; map01120: Microbial metabolism in diverse environments; ko01120	9100	Metabolism	9108	Metabolism of cofactors and vitamins	ko00760	Nicotinate and nicotinamide metabolism	nicA1; nicotine oxidoreductase	DUF6491	PF20101.5	0.035	14.7	0.044	14.4	Family of unknown function (DUF6491)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3381	cluster_012020	HAY14A_10350	K16347	no	9.1	0.92	57.07	entericidin A	ecnA; entericidin A					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	ecnA; entericidin A								1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3382	cluster_010625	HAY14A_10355	K03805	yes	225.8	6.30E-67	104.2	thiol:disulfide interchange protein DsbG	dsbG; thiol:disulfide interchange protein DsbG					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3110	Chaperones and folding catalysts [BR:ko03110]	dsbG; thiol:disulfide interchange protein DsbG	Thioredoxin_2	PF13098.14	3.10E-09	37.7	5.80E-09	36.9	Thioredoxin-like domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3383	cluster_012333	HAY14A_10360	K06889	no	56.8	1.50E-15	112.67	uncharacterized protein	K06889; uncharacterized protein					9190	Not Included in Pathway or Brite	9194	Poorly characterized	99997	Function unknown	K06889; uncharacterized protein	Abhydrolase_6	PF12697.14	1.40E-28	101.6	1.60E-28	101.4	Alpha/beta hydrolase family	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3384																												1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3385	cluster_009913	HAY14A_10370	K10947	no	24.4	1.70E-05	63.23	PadR family transcriptional regulator	K10947; PadR family transcriptional regulator					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3000	Transcription factors [BR:ko03000]	K10947; PadR family transcriptional regulator	HxlR	PF01638.24	1.30E-26	92.8	1.60E-26	92.6	HxlR-like helix-turn-helix	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quinone oxidoreductase 2	cluster_011067	HAY14A_10375	K19267	yes	316.8	1.60E-94	220.13	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]			map00130; ko00130; map01100; ko01100; map01110; ko01110; map01240; ko01240	map00130: Ubiquinone and other terpenoid-quinone biosynthesis; ko00130; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01240: Biosynthesis of cofactors; ko01240	9100	Metabolism	9108	Metabolism of cofactors and vitamins	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	NmrA	PF05368.20	4.20E-17	63.3	1.40E-16	61.6	NmrA-like family	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3387	cluster_010057	HAY14A_10380	K01205	yes	564.9	2.00E-169	281.67	alpha-N-acetylglucosaminidase [EC:3.2.1.50]	NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]	M00078	M00078: Heparan sulfate degradation	map00531; ko00531; map01100; ko01100; map04142; ko04142	map00531: Glycosaminoglycan degradation; ko00531; map01100: Metabolic pathways; ko01100; map04142: Lysosome biogenesis; ko04142	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	4147	Exosome [BR:ko04147]	NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]	NAGLU	PF05089.19	2.40E-93	313.4	3.40E-93	312.9	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_3388	cluster_010113	HAY14A_10385	K02843	no	112.8	1.30E-32	288.47	lipopolysaccharide heptosyltransferase II [EC:2.4.99.24]	"waaF, rfaF; lipopolysaccharide heptosyltransferase II [EC:2.4.99.24]"			map00540; ko00540; map01100; ko01100	map00540: Lipopolysaccharide biosynthesis; ko00540; map01100: Metabolic pathways; ko01100	9180	Brite Hierarchies	9181	Protein families: metabolism	1005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	"waaF, rfaF; lipopolysaccharide heptosyltransferase II [EC:2.4.99.24]"	Glyco_transf_9	PF01075.24	7.00E-13	49.1	8.80E-11	42.2	Glycosyltransferase family 9 (heptosyltransferase)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
